S.Score	G2M.Score	Phase
C482	0.213170297751759	0.0529212113634353	S
C483	0.105718294215868	0.245236199263108	G2M
C484	0.194434836443263	0.111666801069011	S
C485	-0.0794294968645609	-0.196743118750518	G1
C486	0.250337247194671	-0.0799419937424107	S
C487	0.117851580395083	-0.0940576949030604	S
C488	0.0526018078951327	0.526026999859626	G2M
C489	-0.0247902785638179	-0.216704456221525	G1
C490	-0.0397828464505434	-0.167412802151744	G1
C491	0.200338776391752	-0.0621249047369984	S
C492	0.260536412769737	-0.221715932160124	S
C493	0.134509261312715	0.146095021166544	G2M
C494	-0.0966143266926724	-0.210576997780474	G1
C495	-0.109959481628142	-0.175395360089156	G1
C496	-0.146959403377943	-0.183594170321886	G1
C497	-0.111524862657401	-0.190237880200455	G1
C498	-0.120622266401472	-0.204663930193426	G1
C499	0.0774012435094202	-0.219477304722934	S
C500	0.19074582293202	0.330891679746204	G2M
C501	-0.023557991640543	-0.0153438880566786	G1
C502	-0.0971793918163079	-0.130288176178198	G1
C503	0.19687844337301	0.130044794997213	S
C504	0.172890984241573	0.286765705718647	G2M
C505	-0.105526773250882	-0.161378626732713	G1
C506	-0.0708572945928088	-0.138984520604608	G1
C507	-0.128076197951033	-0.222015585479118	G1
C508	0.0480497600969596	0.377718772403419	G2M
C509	-0.0743952366326621	-0.15423911594698	G1
C510	0.0310732000035064	0.243246626285531	G2M
C511	-0.0786141866238985	-0.125149865105342	G1
C512	0.136863440059453	0.392741497654025	G2M
C513	0.236223511689664	0.344747682034677	G2M
C514	-0.172719874402409	-0.223133441744748	G1
C515	-0.120729180814784	-0.214780974788325	G1
C516	0.108842758512368	-0.178573815088408	S
C517	-0.126122605889978	-0.21194927946168	G1
C518	0.291373976834352	0.0150419419269499	S
C519	0.286181923682668	0.224083437907641	S
C520	0.057978654477436	-0.220384699488675	S
C521	-0.147093497486981	-0.210914469250932	G1
C522	-0.116289569063928	-0.221316887674258	G1
C523	-0.135865379392343	-0.206873582925702	G1
C524	0.323965156438021	0.0796277261125313	S
C525	-0.150519549204805	-0.196718945453172	G1
C526	-0.0683262681915739	-0.21600794971651	G1
C527	-0.0063648972282784	-0.194897648428482	G1
C528	-0.0522280139942094	-0.167311776507195	G1
C529	-0.123461195947284	-0.207886740218253	G1
C530	-0.128759749980888	-0.218427848421343	G1
C531	-0.0613580337387257	-0.17693760841602	G1
C532	-0.0733566324162944	-0.195112092833486	G1
C533	-0.0970024428140858	-0.208296787953887	G1
C534	-0.02819482410504	-0.214125103909478	G1
C535	0.106843175005418	0.351965793710057	G2M
C536	0.184143914227545	0.265347183224053	G2M
C537	-0.141139048536524	-0.209989740630204	G1
C538	-0.121943951178165	-0.17639751445156	G1
C539	-0.102444863021145	0.353939871475983	G2M
C540	-0.0743459392185083	-0.147043318259262	G1
C541	-0.155375186960325	-0.235585407089538	G1
C542	0.168260837256542	0.141758006808946	S
C543	-0.0932295775769908	-0.234216955960115	G1
C544	-0.0647802904898739	-0.129533481291898	G1
C545	-0.11581358324843	-0.203921242737099	G1
C546	-0.0656225641887569	-0.150197053467067	G1
C547	0.0262488552443557	0.345999942371764	G2M
C548	-0.164564428544585	-0.109450525018471	G1
C549	-0.0799040655653528	-0.195386614581537	G1
C550	-0.1597839309398	-0.201457020788852	G1
